TimeStamp,Target IP,Port,Status
2026-05-04 12:18:00,scanme.nmap.org,53,OPEN
2026-05-04 12:18:00,scanme.nmap.org,443,OPEN
2026-05-04 12:18:00,scanme.nmap.org,80,OPEN
2026-05-04 12:18:00,scanme.nmap.org,383,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,727,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,747,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,719,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,707,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,711,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,731,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,771,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,803,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,759,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,735,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,783,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,755,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,810,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,723,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,779,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,752,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,787,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,795,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,813,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,763,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,791,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,806,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,739,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,767,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,775,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,743,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,799,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,819,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,816,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,823,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,826,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,829,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,833,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,836,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,840,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,843,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,846,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,850,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,853,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,862,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,856,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,858,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,865,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,869,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,873,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,877,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,881,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,884,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,887,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,890,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,893,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,896,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,899,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,903,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,906,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,909,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,912,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,915,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,918,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,921,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,927,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,924,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,930,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,933,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,937,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,940,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,943,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,946,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,949,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,952,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,961,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,955,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,958,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,965,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,969,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,973,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,979,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,976,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,580,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,986,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,990,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,996,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,992,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,999,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1003,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1006,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1009,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1012,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1019,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1015,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,441,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,549,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,175,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,173,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,167,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,1023,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,196,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,476,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,559,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,180,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,182,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,177,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,188,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,186,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,187,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,558,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,552,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,155,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,164,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,156,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,170,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,545,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,179,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,544,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,163,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,162,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,145,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,159,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,153,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,132,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,148,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,531,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,154,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,538,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,472,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,138,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,142,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,534,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,140,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,144,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,136,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,133,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,529,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,128,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,124,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,526,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,123,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,111,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,97,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,115,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,470,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,87,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,121,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,122,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,248,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,107,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,104,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,103,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,523,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,91,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,34,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,100,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,234,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,75,CLOSED
2026-05-04 12:18:00,scanme.nmap.org,509,CLOSED
